policy,threshold,ce_top_n,query_count,ndcg@10,mrr@10,recall@10,latency_avg_ms,latency_p50_ms,latency_p95_ms,selected_counts
baseline_or_ce_t0.3_k50,0.3,50,42,0.9146176909617115,0.9791666666666666,0.605024848090152,411.42771345663016,435.6277295446489,542.2038325283211,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.3_k10,0.3,10,42,0.8856708515835541,0.9785714285714286,0.5944342482138378,104.52473016145329,102.35777101479471,129.58545593428425,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.3_k5,0.3,5,42,0.8675245651514238,0.9587301587301587,0.5944342482138378,71.26729764526577,68.50660449708812,84.5931066229241,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.6062_k50,0.6062,50,42,0.8618870321711644,0.9238095238095237,0.5944342482138378,154.14624709713584,18.09056251659058,514.8952902207384,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k50,0.6,50,42,0.8618870321711644,0.9238095238095237,0.5944342482138378,185.47565286003407,20.857499999692664,514.8952902207384,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k50,0.4,50,42,0.8618870321711644,0.9238095238095237,0.5944342482138378,196.37578281219163,21.90985399647616,514.8952902207384,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k50,0.5,50,42,0.8618870321711644,0.9238095238095237,0.5944342482138378,196.37578281219163,21.90985399647616,514.8952902207384,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k50,0.55,50,42,0.8618870321711644,0.9238095238095237,0.5944342482138378,196.37578281219163,21.90985399647616,514.8952902207384,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.8_k10,0.8,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,25.711530761327595,16.835249989526346,100.89194374158961,"{""baseline"": 39, ""cross_encoder"": 3}"
baseline_or_ce_t0.75_k10,0.75,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,30.24387797562494,16.835249989526346,120.73581902950535,"{""baseline"": 37, ""cross_encoder"": 5}"
baseline_or_ce_t0.65_k10,0.65,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,33.11218352228891,16.835249989526346,123.9640631363727,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.7_k10,0.7,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,33.11218352228891,16.835249989526346,123.9640631363727,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.6062_k10,0.6062,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,47.46410811674737,18.09056251659058,123.9640631363727,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k10,0.6,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,53.94077578343318,20.857499999692664,123.9640631363727,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k10,0.4,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,56.08482637797438,21.90985399647616,123.9640631363727,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k10,0.5,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,56.08482637797438,21.90985399647616,123.9640631363727,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k10,0.55,10,42,0.8593972489642554,0.9238095238095237,0.5944342482138378,56.08482637797438,21.90985399647616,123.9640631363727,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.8_k50,0.8,50,42,0.8593239420648457,0.9238095238095237,0.5944342482138378,52.486013905200664,16.835249989526346,451.8943812639901,"{""baseline"": 39, ""cross_encoder"": 3}"
baseline_or_ce_t0.8_k5,0.8,5,42,0.8588532064184998,0.9238095238095237,0.5944342482138378,22.49642657226927,16.835249989526346,67.41604139097034,"{""baseline"": 39, ""cross_encoder"": 3}"
baseline_or_ce_t0.75_k50,0.75,50,42,0.8584718967278688,0.9238095238095237,0.5944342482138378,78.3486260250876,16.835249989526346,512.2166773915524,"{""baseline"": 37, ""cross_encoder"": 5}"
baseline_or_ce_t0.65_k50,0.65,50,42,0.8584718967278688,0.9238095238095237,0.5944342482138378,88.92648911985036,16.835249989526346,512.2166773915524,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.7_k50,0.7,50,42,0.8584718967278688,0.9238095238095237,0.5944342482138378,88.92648911985036,16.835249989526346,512.2166773915524,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.8_k20,0.8,20,42,0.8584665496081995,0.9238095238095237,0.5962766518419558,32.2492132891923,16.835249989526346,183.0821827636095,"{""baseline"": 39, ""cross_encoder"": 3}"
baseline_or_ce_t0.75_k20,0.75,20,42,0.8568134252763715,0.9238095238095237,0.5949539005192045,41.28987995430916,16.835249989526346,196.307800640352,"{""baseline"": 37, ""cross_encoder"": 5}"
baseline_or_ce_t0.75_k5,0.75,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,24.85602776176252,16.835249989526346,74.32642735366242,"{""baseline"": 37, ""cross_encoder"": 5}"
baseline_or_ce_t0.65_k5,0.65,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,26.91427678551658,16.835249989526346,75.93411695270332,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.7_k5,0.7,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,26.91427678551658,16.835249989526346,75.93411695270332,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.6062_k5,0.6062,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,35.22593352439193,18.09056251659058,75.93411695270332,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k5,0.6,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,39.06429959516529,20.857499999692664,75.99147110595368,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k5,0.4,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k5,0.5,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k5,0.55,5,42,0.855541083612314,0.9238095238095237,0.5944342482138378,40.18015673777665,21.90985399647616,75.99147110595368,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.65_k20,0.65,20,42,0.8552986446049677,0.9238095238095237,0.5934658052811093,45.93899304884309,16.835249989526346,221.05214550101653,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.7_k20,0.7,20,42,0.8552986446049677,0.9238095238095237,0.5934658052811093,45.93899304884309,16.835249989526346,221.05214550101653,"{""baseline"": 36, ""cross_encoder"": 6}"
baseline_or_ce_t0.3_k20,0.3,20,42,0.8529225772694935,0.9821428571428571,0.5463441515845945,182.57311914099515,178.30077151302248,239.7959437628742,"{""cross_encoder"": 41, ""baseline"": 1}"
baseline_or_ce_t0.6062_k20,0.6062,20,42,0.8396812642025169,0.9238095238095237,0.5810886155583818,73.78495435668377,18.09056251659058,221.36910999834063,"{""baseline"": 29, ""cross_encoder"": 13}"
baseline_or_ce_t0.6_k20,0.6,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,86.39151987985575,20.857499999692664,221.75904964969956,"{""baseline"": 26, ""cross_encoder"": 16}"
baseline_or_ce_t0.4_k20,0.4,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.5_k20,0.5,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
baseline_or_ce_t0.55_k20,0.55,20,42,0.83645065835987,0.9238095238095237,0.5781124250821913,90.73934628395364,21.90985399647616,221.75904964969956,"{""baseline"": 25, ""cross_encoder"": 17}"
